ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
2007,1968,8,14,22,14,19.4,4,1,23,7.8,INDONESIA,,BANDA SEA,0.2,119.8,83,10,,3.3,2.5,,200,3,58,2,,,,3,800,3,,,200,3,,,58,2,,3,800,3,,
2011,1969,2,23,0,36,56.6,4,1,13,6.9,INDONESIA,,MAKASSAR STRAIT,-3.1,118.9,83,4,,2,2,,600,3,,,,,,3,,3,,,664,3,,,97,2,,3,1287,4,,
2872,1969,3,21,,,,2,6,,,PHILIPPINES,,LUZON ISLAND,19.077,122.202,84,,,,,,3,1,,,,,,,,,,,3,1,,,,,,,,,,
2028,1970,10,31,17,53,9.3,4,3,8,7.3,PAPUA NEW GUINEA,,PAPUA NEW GUINEA,-4.907,145.471,82,3,,0.3,0.5,,3,1,,,,,,,,,,,18,1,,,20,1,1.75,2,800,3,,
5535,1971,3,19,,,,0,8,,,PERU,,CHUNGAR,-11.116,-76.5,89,30,,,,,600,3,,,,,,2,,2,,,600,3,,,,,,2,,2,,
2034,1971,7,14,6,11,29.1,4,1,47,7.9,PAPUA NEW GUINEA,,SOLOMON SEA,-5.5,153.9,82,6,,1.6,1,,1,1,,,,,,1,,,,,3,1,,,5,1,,1,,,,
2079,1975,10,31,8,28,2.6,4,1,50,7.6,PHILIPPINES,,PHILIPPINE TRENCH,12.54,125.993,84,3,,-0.7,-1.5,,1,1,,,,,,1,30,1,,,1,1,,,,,,1,30,1,,
2080,1975,11,29,14,47,40.9,4,3,2,7.7,USA,HI,HAWAII,19.451,-155.033,80,14.3,,3,3,,2,1,19,1,,,1.5,2,,,,,2,1,,,19,1,4,2,,,,
2086,1976,8,16,16,11,7.3,4,1,33,8,PHILIPPINES,,MORO GULF,6.292,124.09,84,9,,2.3,2.5,,6800,4,6500,4,,,134,4,,,,,8000,4,,,10000,4,134,4,,,,
2092,1977,8,19,6,8,55.2,4,1,33,8,INDONESIA,,SUNDA ISLANDS,-11.085,118.464,60,15,,3.9,3,,189,3,75,2,,,1.2,2,,,,,189,3,,,75,2,1.2,2,,,,
