I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
4021,Tsu,1953,5,6,17,16,43,60,7.6,,,,7.6,,,10,CHILE,,"CHILE:  CHILLAN, CONCEPCION",-36.5,-72.5,160,9,1,,,26,1,500,4,,,,,9,1,,,26,1,500,4,,,,
6367,Tsu,1953,5,31,19,58,    ,33,7.2,,7.2,,,,,,DOMINICAN REPUBLIC,,DOMINICAN REPUBLIC: PUERTO PLATA,19.8,-70.7,90,,,,,,,,,,,,,,,,,,,,,,,,
4029,Tsu,1953,8,12,9,23,52,,7.2,,7.2,,,,,10,GREECE,,GREECE:  LIXOURI-ARGOSTOLI (KEPHALLENIA),38.3,20.8,130,476,3,,,2412,4,100,4,27773,4,,,476,3,,,2412,4,100,4,27773,4,,
4031,Tsu,1953,9,10,4,5,58,,6.5,,6.5,,,,,10,CYPRUS,,CYPRUS:  PAPHOS,35,32.5,130,40,1,,,100,1,,2,500,3,,,40,1,,,100,2,,2,500,3,,
7443,Tsu,1953,9,14,0,26,36,33,6.4,6.4,6.8,,,,,,FIJI,,FIJI ISLANDS,-18.3,178.2,170,2,1,,,,,,2,,2,,,7,1,,,12,1,,2,,2,,
4032,Tsu,1953,11,25,17,48,,60,7.4,,7.4,,,,,,JAPAN,,JAPAN:  KASHIMA,34,141.7,30,1,1,,,,,,1,,,,,1,1,,,,,,1,,,,
4034,Tsu,1953,12,12,17,31,25,30,7.4,,7.4,,,,,9,PERU,,OFF COAST OF PERU,-3.4,-80.6,160,6,1,,,20,1,,2,200,3,,,6,1,,,20,1,,2,200,3,,
8036,Tsu,1954,2,11,0,30,15,,7.3,,7.3,,,,,10,CHINA,,CHINA:  GANSU PROVINCE,39,101.3,30,,,,,,,,3,,3,,,,,,,,,,3,,3,,
4055,Tsu,1954,9,9,1,4,37,,6.7,,6.7,,,,,11,ALGERIA,,ALGERIA:  ORLEANSVILLE,36.283,1.467,15,1243,4,,,5000,4,6,3,20000,4,,,1243,4,,,5000,4,6,3,20000,4,,
6368,Tsu,1954,11,18,20,44,55,30,6.5,,6.5,,,,,,JAPAN,,JAPAN:  HONSHU:  MIYAGI PREFECTURE,38.9,142.2,30,,,,,,,,,,,,,,,,,,,,,,,,
