I_D,TSEVENT_ID,YEAR,LATITUDE,LONGITUDE
28289,837,1854,33.49,133.41
19570,837,1854,33.93,134.667
19571,837,1854,33.867,134.65
19572,837,1854,33.77,134.65
19573,837,1854,33.767,134.583
19527,837,1854,33.333,133.25
19528,837,1854,33.24,132.56
19529,837,1854,33.86,132.71
19530,837,1854,27.0939,142.195
19531,837,1854,33.5,133.56
19532,837,1854,33.5,133.56
19533,837,1854,33.49,133.567
19509,837,1854,33.452,133.45
19510,837,1854,33.41,133.3
19511,837,1854,33.77,134.59
19513,837,1854,35.1275,136.90833
19514,837,1854,35.1,136.89
19515,837,1854,34.96,136.64
19516,837,1854,33.76,135.38
19517,837,1854,34.03,135.17
19518,837,1854,34.58,135.47
19614,837,1854,33.2,133.2
28295,837,1854,,
775,837,1854,34.667,138.783
777,837,1854,33,131
778,837,1854,34.683,137.617
779,837,1854,34.917,139.817
780,837,1854,,
781,837,1854,34.71,135.41
768,837,1854,33.45,133.45
773,837,1854,,
774,837,1854,33.95,133.43
785,837,1854,34.217,135.15
786,837,1854,46.208,-123.767
28290,837,1854,33.47,133.4
28291,837,1854,33.32,133.1
28292,837,1854,33.405,133.3
28293,837,1854,33.28,133.24
19600,837,1854,33.567,134.317
19616,837,1854,37.817,140.983
19603,837,1854,33.5,133.9
19595,837,1854,33.667,134.417
19615,837,1854,,
19562,837,1854,34.57,136.53
19567,837,1854,34.667,138.95
19568,837,1854,34.67,138.97
19594,837,1854,35.45,139.65
19598,837,1854,33.62,134.37
19601,837,1854,33.5,133.9
19602,837,1854,33.533,134.3
19604,837,1854,33.6,133.47
19608,837,1854,33.8,133.44
19609,837,1854,35.03,138.94
11653,3377,1854,43.6956677,7.2856
25877,3377,1854,43.774,7.5
27855,839,1855,-43.53,172.620278
788,839,1855,-41.63,175.33
790,839,1855,-41.283,174.783
27852,839,1855,-41.5,174.5
27853,839,1855,-41.45,174.1
27854,839,1855,-41.2613,173.27278
28716,5523,1855,-41.93,174.09
28671,5507,1855,-39.1,177.85
791,843,1855,38.72,-27.22
792,844,1855,40.77,-124.22
17531,845,1855,-8.9,120.8
11654,3378,1855,43.695667,7.2856
793,846,1855,33.5,-117.65
794,848,1855,15.91,-85.96
796,849,1855,37.807,-122.465
802,850,1855,34.667,138.95
800,850,1855,,
801,850,1855,34.083,136.2
799,850,1855,40.16,141.78
798,850,1855,34.48,136.71
797,850,1855,34.62,137.11
28269,851,1855,35.37,139.91
10468,851,1855,35.65,139.8
15733,3567,1855,29.25,108.133
806,856,1856,37.807,-122.465
25449,859,1856,3.7189,125.4116
808,859,1856,3.6394,125.4234
807,858,1856,-44.77,171.17
10844,858,1856,-43.804,172.966
17532,861,1856,-8.567,116.067
809,862,1856,54.77,-164.18
28184,2377,1856,15.97,-84.97
6693,2377,1856,15.7667,-88.0333
6694,2377,1856,15.833,-87.917
6695,2377,1856,15.667,-87
6696,2377,1856,15.917,-86
11655,3438,1856,36.8,5.767
16078,3438,1856,39.883,4.25
11656,3380,1856,36.8,5.767
11658,3380,1856,36.75,5.083
11657,3380,1856,36.879,6.907
11659,3380,1856,36.9,7.767
835,864,1856,39.42,142
836,864,1856,41.816,140.639
837,864,1856,42.167,142.767
841,864,1856,39.15,141.833
833,864,1856,41.75,141.08
19539,864,1856,42.2539,140.2692
19535,864,1856,44.4261,143.2231
838,864,1856,41.933,140.95
19536,864,1856,41.833,141.15
