ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
1825,1952,9,23,4,20,0,4,6,,,JAPAN,,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,85,0.05,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,
1826,1952,9,24,3,23,0,4,6,,,JAPAN,,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,85,0.15,,-1,,,,,,,,,,,,,,,31,1,,,,,,1,,,,
1827,1952,9,26,3,33,0,4,6,,,JAPAN,,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,85,0.1,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,
1828,1952,10,13,,,,0,8,,,USA,WA,"COLUMBIA RIVER VALLEY, WA",,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,1952,11,4,16,58,27.9,4,1,22,9,RUSSIA,,KAMCHATKA,52.755,160.057,86,18.4,,4.2,4,,10000,4,,,,,1,2,,,,,10000,4,,,,,1,2,,,,
1830,1953,2,14,,,,0,8,,,USA,WA,"COLUMBIA RIVER VALLEY, WA",,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,1953,2,15,,,,2,1,,5.5,PERU,,CENTRAL PERU,-12,-77.5,89,0.7,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,1953,2,16,11,43,,0,8,,,USA,WA,"COLUMBIA RIVER VALLEY, WA",,,88,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,1953,3,11,,,,4,6,,,JAPAN,,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,85,6,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,
1835,1953,3,17,13,4,,3,1,,5.8,RUSSIA,,N. KURIL ISLANDS,50,156.5,86,3,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
5566,1953,3,25,,,,4,6,,,JAPAN,,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,85,0.05,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,
2336,1953,4,23,16,24,34,1,1,35,7.4,PAPUA NEW GUINEA,,"RABAUL, NEW BRITAIN",-4.449,152.868,82,,,,0,,,,,,,,,,,,,,,,,,,,0.013,1,,,,
1836,1953,5,6,17,16,43,1,1,60,7.6,CHILE,,CENTRAL CHILE,-36.5,-72.5,89,,,,,,,,,,,,,,,,,,9,1,,,26,1,500,4,,,,
1837,1953,5,31,19,58,,2,1,33,7.2,DOMINICAN REPUBLIC,,PUERTO PLATA,19.8,-70.7,74,0.06,,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,1953,6,27,,,,3,6,,,PAPUA NEW GUINEA,,BISMARCK SEA,-2.4,147.4,82,,,0.5,1,,,,,,,,,1,,,,,,,,,,,,1,,,,
3398,1953,8,12,9,23,52,2,1,,7.2,GREECE,,IONIAN SEA,38.3,20.8,50,,,,,,,,,,,,,,,,,,476,3,,,2412,4,100,4,27773,4,,
1839,1953,8,19,19,0,,0,8,,,USA,WA,"COLUMBIA RIVER VALLEY, WA",,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3396,1953,9,10,4,5,58,3,1,,6.5,CYPRUS,,LEVANTIAN SEA,35,32.5,50,,,,,,,,,,,,,,,,,,40,1,,,100,2,,2,500,3,,
1840,1953,9,14,0,26,36,4,3,33,6.4,FIJI,,FIJI ISLANDS,-18.3,178.2,81,15,,1,1,,5,1,12,1,,,,1,,1,,,7,1,,,12,1,,2,,2,,
1841,1953,11,25,17,48,,4,1,60,7.4,JAPAN,,"KASHIMA, JAPAN",34,141.7,85,3,,1.5,1.5,,,,,,,,,1,,,,,1,1,,,,,,1,,,,
1842,1953,12,12,17,31,25,4,1,30,7.4,PERU,,N. PERU,-3.4,-80.6,89,1,,-1,0.5,,,,,,,,,,,,,,6,1,,,20,1,,2,200,3,,
3572,1954,2,11,0,30,15,0,1,,7.3,CHINA,,CHINA: GANSU AND SHANXI PROVINCES,,,84,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,
